question,ground_truth_id,retrieved_ids,hit,rank,reciprocal_rank
ਅਮਰਜੋਤ ਨੇ ਆਪਣਾ ਪਰਿਵਾਰਕ ਜੀਵਨ ਕਿਉਂ ਛੱਡਿਆ ਸੀ?,Amar Singh Chamkila_Punjabi.pdf_10,"['Amar Singh Chamkila_Punjabi.pdf_21', 'Climate change_English.pdf_94', 'Amar Singh Chamkila_Punjabi.pdf_18', 'Climate change_English.pdf_8', 'Amar Singh Chamkila_Punjabi.pdf_19', 'Climate change_English.pdf_10', 'Amar Singh Chamkila_Punjabi.pdf_10', 'Climate change_English.pdf_33', 'Amar Singh Chamkila_Punjabi.pdf_1', 'Amar Singh Chamkila_Punjabi.pdf_3']",True,7,0.14285714285714285
ਚਮਕੀਲੇ ਦੇ ਗੀਤਾਂ ਨੂੰ ਲੈ ਕੇ ਲੋਕਾਂ ਦੀ ਪ੍ਰਤੀਕਿਰਿਆ ਕੀ ਰਹੀ?,Amar Singh Chamkila_Punjabi.pdf_11,"['Amar Singh Chamkila_Punjabi.pdf_19', 'Climate change_English.pdf_3', 'Amar Singh Chamkila_Punjabi.pdf_18', 'Climate change_English.pdf_6', 'Amar Singh Chamkila_Punjabi.pdf_21', 'Climate change_English.pdf_8', 'Amar Singh Chamkila_Punjabi.pdf_8', 'Climate change_English.pdf_9', 'Amar Singh Chamkila_Punjabi.pdf_20', 'Climate change_English.pdf_10']",False,0,0.0
ਚਮਕੀਲੇ ਨੇ ਆਪਣੇ ਗੀਤਾਂ ਵਿੱਚ ਕਿਹੜੇ ਅਭਿਵਿਅਕਤੀਕ ਢੰਗ ਵਰਤੇ?,Amar Singh Chamkila_Punjabi.pdf_12,"['Amar Singh Chamkila_Punjabi.pdf_19', 'Amar Singh Chamkila_Punjabi.pdf_18', 'Amar Singh Chamkila_Punjabi.pdf_21', 'Amar Singh Chamkila_Punjabi.pdf_20', 'Climate change_English.pdf_7', 'Amar Singh Chamkila_Punjabi.pdf_8', 'Artificial Intelligence_Kannada.pdf_73', 'Climate change_English.pdf_1', 'Amar Singh Chamkila_Punjabi.pdf_16', 'Climate change_English.pdf_8']",False,0,0.0
ਚਮਕੀਲੇ ਦੀ ਆਵਾਜ਼ ਦੀ ਵਿਸ਼ੇਸ਼ਤਾ ਕਿਹੜੀ ਸੀ?,Amar Singh Chamkila_Punjabi.pdf_13,"['Dandi march_Hindi.pdf_33', 'Climate change_English.pdf_0', 'Amar Singh Chamkila_Punjabi.pdf_8', 'Climate change_English.pdf_1', 'Dandi march_Hindi.pdf_11', 'Climate change_English.pdf_4', 'Amar Singh Chamkila_Punjabi.pdf_10', 'Climate change_English.pdf_6', 'Amar Singh Chamkila_Punjabi.pdf_19', 'Climate change_English.pdf_7']",False,0,0.0
ਚਮਕੀਲੇ ਦੀ ਮੌਤ ਕਦੋਂ ਅਤੇ ਕਿਵੇਂ ਹੋਈ ਸੀ?,Amar Singh Chamkila_Punjabi.pdf_14,"['Amar Singh Chamkila_Punjabi.pdf_21', 'Amar Singh Chamkila_Punjabi.pdf_0', 'Amar Singh Chamkila_Punjabi.pdf_18', 'Amar Singh Chamkila_Punjabi.pdf_19', 'Amar Singh Chamkila_Punjabi.pdf_20', 'Climate change_English.pdf_8', 'Climate change_English.pdf_20', 'Amar Singh Chamkila_Punjabi.pdf_1', 'Climate change_English.pdf_21', 'Amar Singh Chamkila_Punjabi.pdf_16']",False,0,0.0
ਚਮਕੀਲੇ ਦੀ ਮੌਤ ਕਿਵੇਂ ਅਤੇ ਕਿਸ ਹਾਲਤ ਵਿੱਚ ਹੋਈ ਸੀ?,Amar Singh Chamkila_Punjabi.pdf_15,"['Amar Singh Chamkila_Punjabi.pdf_21', 'Amar Singh Chamkila_Punjabi.pdf_18', 'Amar Singh Chamkila_Punjabi.pdf_19', 'Amar Singh Chamkila_Punjabi.pdf_20', 'Amar Singh Chamkila_Punjabi.pdf_0', 'Climate change_English.pdf_97', 'Climate change_English.pdf_8', 'Climate change_English.pdf_20', 'Amar Singh Chamkila_Punjabi.pdf_1', 'Climate change_English.pdf_24']",False,0,0.0
ਅਮਰ ਸਿੰਘ ਚਮਕੀਲੇ ਦੇ ਕਤਲ ਬਾਰੇ ਕੀ ਕਿਹਾ ਜਾਂਦਾ ਹੈ?,Amar Singh Chamkila_Punjabi.pdf_16,"['Amar Singh Chamkila_Punjabi.pdf_18', 'Amar Singh Chamkila_Punjabi.pdf_19', 'Amar Singh Chamkila_Punjabi.pdf_20', 'Amar Singh Chamkila_Punjabi.pdf_21', 'Climate change_English.pdf_1', 'Amar Singh Chamkila_Punjabi.pdf_1', 'Climate change_English.pdf_4', 'Amar Singh Chamkila_Punjabi.pdf_16', 'Climate change_English.pdf_22', 'Amar Singh Chamkila_Punjabi.pdf_15']",True,8,0.125
ਚਮਕੀਲੇ ਦੀ ਮੌਤ ਉੱਤੇ ਕੀ ਪੱਤਰਕਾਰ ਜਾਂ ਲੇਖਕਾਂ ਨੇ ਰਚਨਾਵਾਂ ਕੀਤੀਆਂ ਹਨ?,Amar Singh Chamkila_Punjabi.pdf_17,"['Amar Singh Chamkila_Punjabi.pdf_18', 'Climate change_English.pdf_3', 'Amar Singh Chamkila_Punjabi.pdf_19', 'Climate change_English.pdf_92', 'Amar Singh Chamkila_Punjabi.pdf_21', 'Climate change_English.pdf_24', 'Amar Singh Chamkila_Punjabi.pdf_20', 'Climate change_English.pdf_25', 'Amar Singh Chamkila_Punjabi.pdf_1', 'Climate change_English.pdf_26']",False,0,0.0
ਅਮਰਜੋਤ ਬਾਰੇ ਜਾਣਕਾਰੀ ਕਿਸ ਲੇਖ ਵਿੱਚ ਦਿੱਤੀ ਗਈ ਹੈ?,Amar Singh Chamkila_Punjabi.pdf_18,"['Amar Singh Chamkila_Punjabi.pdf_18', 'Climate change_English.pdf_22', 'Amar Singh Chamkila_Punjabi.pdf_19', 'Climate change_English.pdf_76', 'Amar Singh Chamkila_Punjabi.pdf_21', 'Climate change_English.pdf_86', 'Amar Singh Chamkila_Punjabi.pdf_20', 'Climate change_English.pdf_1', 'Football in India_Bengali.pdf_13', 'Climate change_English.pdf_10']",True,1,1.0
ਚਮਕੀਲੇ ਉੱਤੇ ਬਣ ਰਹੀ ਫਿਲਮ ਦੀ ਸ਼ੁਰੂਆਤ ਕਦੋਂ ਹੋਣੀ ਸੀ?,Amar Singh Chamkila_Punjabi.pdf_19,"['Amar Singh Chamkila_Punjabi.pdf_19', 'Amar Singh Chamkila_Punjabi.pdf_18', 'Amar Singh Chamkila_Punjabi.pdf_20', 'Climate change_English.pdf_6', 'Amar Singh Chamkila_Punjabi.pdf_21', 'Climate change_English.pdf_14', 'Dandi march_Hindi.pdf_33', 'Climate change_English.pdf_70', 'Dandi march_Hindi.pdf_11', 'Climate change_English.pdf_78']",True,1,1.0
ਅਮਰ ਸਿੰਘ ਚਮਕੀਲੇ ਦੇ ਕਤਲ ਨੂੰ ਲੈ ਕੇ ਕਿਹੜੀ ਵੈੱਬਸਾਈਟ ਨੇ ਲੇਖ ਪ੍ਰਕਾਸ਼ਤ ਕੀਤਾ?,Amar Singh Chamkila_Punjabi.pdf_20,"['Amar Singh Chamkila_Punjabi.pdf_18', 'Amar Singh Chamkila_Punjabi.pdf_19', 'Amar Singh Chamkila_Punjabi.pdf_20', 'Amar Singh Chamkila_Punjabi.pdf_21', 'Climate change_English.pdf_10', 'Amar Singh Chamkila_Punjabi.pdf_1', 'Climate change_English.pdf_16', 'Amar Singh Chamkila_Punjabi.pdf_16', 'Climate change_English.pdf_26', 'Amar Singh Chamkila_Punjabi.pdf_15']",True,3,0.3333333333333333
ਚਮਕੀਲੇ ਦੀ ਡਿਸਕੋਗ੍ਰਾਫੀ ਕਿੱਥੇ ਉਪਲਬਧ ਹੈ?,Amar Singh Chamkila_Punjabi.pdf_21,"['Amar Singh Chamkila_Punjabi.pdf_19', 'Amar Singh Chamkila_Punjabi.pdf_18', 'Amar Singh Chamkila_Punjabi.pdf_20', 'Climate change_English.pdf_52', 'Climate change_English.pdf_68', 'Amar Singh Chamkila_Punjabi.pdf_21', 'Climate change_English.pdf_80', 'Climate change_English.pdf_94', 'Artificial Intelligence_Kannada.pdf_37', 'Dandi march_Hindi.pdf_23']",True,6,0.16666666666666666
मस्चासकाबे कैरर्त्र मस्चासकाबे?,Artificial Intelligence_Kannada.pdf_0,"['Artificial Intelligence_Kannada.pdf_0', 'Amar Singh Chamkila_Punjabi.pdf_21', 'Artificial Intelligence_Kannada.pdf_1', 'Football in India_Bengali.pdf_14', 'Dandi march_Hindi.pdf_41', 'Amar Singh Chamkila_Punjabi.pdf_4', 'Dandi march_Hindi.pdf_11', 'Dandi march_Hindi.pdf_23', 'Dandi march_Hindi.pdf_42', 'Dandi march_Hindi.pdf_0']",True,1,1.0
ಹೊಮೊ ಸೆಪಿಯೆನ್ ಗಳ ತಿಳಿವಳಿಕೆ ಏನು?,Artificial Intelligence_Kannada.pdf_1,"['Climate change_English.pdf_1', 'Climate change_English.pdf_97', 'Artificial Intelligence_Kannada.pdf_31', 'Artificial Intelligence_Kannada.pdf_1', 'Climate change_English.pdf_96', 'Climate change_English.pdf_2', 'Artificial Intelligence_Kannada.pdf_28', 'Climate change_English.pdf_4', 'Artificial Intelligence_Kannada.pdf_35', 'Climate change_English.pdf_6']",True,4,0.25
ಕೆಲವು ವಿಮರ್ಶಕರು ಕೇಳಿದ ಸಮಸ್ಯೆಗಳನ್ನು ಉತ್ತರಿಸಲು ಸಾಧ್ಯವಾಗುವ ಮಟ್ಟಿಗೆ ಅಭಿವೃದ್ಧಿ ಹೊಂದಿದ ಆಯಾನಿಕ ಸಂಶೋಧನೆಯ ಗುರಿಯಾಗಿದೆ ಎಂಬುದು ಯಾವುದೇ ವಿಷಯವಾಗಿದೆ?,Artificial Intelligence_Kannada.pdf_2,"['Artificial Intelligence_Kannada.pdf_43', 'Artificial Intelligence_Kannada.pdf_17', 'Artificial Intelligence_Kannada.pdf_28', 'Artificial Intelligence_Kannada.pdf_8', 'Artificial Intelligence_Kannada.pdf_62', 'Artificial Intelligence_Kannada.pdf_0', 'Artificial Intelligence_Kannada.pdf_16', 'Artificial Intelligence_Kannada.pdf_61', 'Artificial Intelligence_Kannada.pdf_41', 'Artificial Intelligence_Kannada.pdf_44']",False,0,0.0
20 ನೆಯ ಶತಮಾನದಲ್ಲಿ ಯಾವ ಹೊಸ ಪರಿಣಾಮಗಳು ನಡೆದಿದ್ದವು?,Artificial Intelligence_Kannada.pdf_3,"['Climate change_English.pdf_0', 'Climate change_English.pdf_6', 'Climate change_English.pdf_2', 'Climate change_English.pdf_1', 'Climate change_English.pdf_13', 'Climate change_English.pdf_38', 'Climate change_English.pdf_49', 'Climate change_English.pdf_48', 'Climate change_English.pdf_7', 'Climate change_English.pdf_3']",False,0,0.0
ಅಲೆನ್ ನೆವೆಲ್ ಅವರು ಯಾವ ಸಂಸ್ಥೆಗಳಲ್ಲಿ ಕಾರ್ಯನಿರ್ವಹಿಸಿದರು?,Artificial Intelligence_Kannada.pdf_4,"['Artificial Intelligence_Kannada.pdf_31', 'Climate change_English.pdf_8', 'Artificial Intelligence_Kannada.pdf_29', 'Climate change_English.pdf_9', 'Artificial Intelligence_Kannada.pdf_56', 'Climate change_English.pdf_10', 'Artificial Intelligence_Kannada.pdf_4', 'Climate change_English.pdf_14', 'Artificial Intelligence_Kannada.pdf_32', 'Climate change_English.pdf_16']",True,7,0.14285714285714285
ಮೊದಲ ಐ.ಎಸ್.ಎಸ್. ಶಿಕ್ಷಣದ ಕಾರಣವೇನು?,Artificial Intelligence_Kannada.pdf_5,"['Artificial Intelligence_Kannada.pdf_5', 'Climate change_English.pdf_33', 'Climate change_English.pdf_97', 'Climate change_English.pdf_41', 'Football in India_Bengali.pdf_2', 'Climate change_English.pdf_71', 'Artificial Intelligence_Kannada.pdf_34', 'Climate change_English.pdf_1', 'Artificial Intelligence_Kannada.pdf_9', 'Climate change_English.pdf_2']",True,1,1.0
ನುರಿತ ವಿಷಯದ ಯಶಸ್ಸಿನ ಆರಂಭದ ವರ್ಷ?,Artificial Intelligence_Kannada.pdf_6,"['Amar Singh Chamkila_Punjabi.pdf_19', 'Artificial Intelligence_Kannada.pdf_35', 'Climate change_English.pdf_8', 'Artificial Intelligence_Kannada.pdf_56', 'Climate change_English.pdf_13', 'Climate change_English.pdf_89', 'Climate change_English.pdf_14', 'Football in India_Bengali.pdf_4', 'Climate change_English.pdf_15', 'Football in India_Bengali.pdf_0']",False,0,0.0
ಕಂಪ್ಯೂಟರ್‌ಗಳಲ್ಲಿ ಅತಿ ಮಹತ್ವದ ಯಶಸ್ಸು ಯಾವುದು?,Artificial Intelligence_Kannada.pdf_7,"['Football in India_Bengali.pdf_14', 'Climate change_English.pdf_21', 'Football in India_Bengali.pdf_2', 'Climate change_English.pdf_52', 'Football in India_Bengali.pdf_13', 'Climate change_English.pdf_66', 'Artificial Intelligence_Kannada.pdf_38', 'Climate change_English.pdf_68', 'Artificial Intelligence_Kannada.pdf_13', 'Climate change_English.pdf_71']",False,0,0.0
ಮಾನವನ ಮನಸ್ಸಿನ ಸಾಮಥ್ಯಗಳ ನುಂಡಿ ಮರುರಚನೆಗೆ ಸಾಧ್ಯತೆ ಇದೆಯೆ?,Artificial Intelligence_Kannada.pdf_8,"['Climate change_English.pdf_71', 'Artificial Intelligence_Kannada.pdf_8', 'Climate change_English.pdf_6', 'Artificial Intelligence_Kannada.pdf_28', 'Climate change_English.pdf_52', 'Artificial Intelligence_Kannada.pdf_27', 'Climate change_English.pdf_100', 'Artificial Intelligence_Kannada.pdf_26', 'Climate change_English.pdf_14', 'Artificial Intelligence_Kannada.pdf_10']",True,2,0.5
ಡಾ ಮೌತ್  ಪ್ರತಿಚಿತ್ರಣವನ್ನು ಕುಶಲತೆಯಿಂದ ಬಳಸಿಕೊಳ್ಳಲು ಹೇಳಿಕೆಯಾಗಿ ಮಾಡಿದ್ದಾರೆ.,Artificial Intelligence_Kannada.pdf_9,"['Artificial Intelligence_Kannada.pdf_33', 'Artificial Intelligence_Kannada.pdf_9', 'Artificial Intelligence_Kannada.pdf_6', 'Amar Singh Chamkila_Punjabi.pdf_13', 'Artificial Intelligence_Kannada.pdf_17', 'Artificial Intelligence_Kannada.pdf_75', 'Amar Singh Chamkila_Punjabi.pdf_2', 'Artificial Intelligence_Kannada.pdf_45', 'Amar Singh Chamkila_Punjabi.pdf_12', 'Artificial Intelligence_Kannada.pdf_65']",True,2,0.5
ಗೋ ಡೆಲ್  ರ  ಅಪೂ ಣೆಯ ಪ್ರಯೋಜನವೇನು?,Artificial Intelligence_Kannada.pdf_10,"['Artificial Intelligence_Kannada.pdf_10', 'Artificial Intelligence_Kannada.pdf_0', 'Artificial Intelligence_Kannada.pdf_8', 'Artificial Intelligence_Kannada.pdf_15', 'Artificial Intelligence_Kannada.pdf_18', 'Artificial Intelligence_Kannada.pdf_9', 'Artificial Intelligence_Kannada.pdf_19', 'Artificial Intelligence_Kannada.pdf_28', 'Artificial Intelligence_Kannada.pdf_1', 'Artificial Intelligence_Kannada.pdf_74']",True,1,1.0
ಕೃತಕ ಮೆದುಳು ವಾದ ಮೆದುಳನ್ನು ನಕಲು ಮಾಡಿಸಬಹುದಾಗಿದೆಯೇ?,Artificial Intelligence_Kannada.pdf_11,"['Artificial Intelligence_Kannada.pdf_0', 'Climate change_English.pdf_4', 'Artificial Intelligence_Kannada.pdf_28', 'Climate change_English.pdf_15', 'Artificial Intelligence_Kannada.pdf_8', 'Climate change_English.pdf_41', 'Artificial Intelligence_Kannada.pdf_26', 'Climate change_English.pdf_52', 'Artificial Intelligence_Kannada.pdf_69', 'Climate change_English.pdf_54']",False,0,0.0
ಬು ದಿ  ಮ ತೆ  ಯ ನು ಯಾವ ಲಕ್ಷಣಗಳನ್ನು ಹೊಂದಿದೆ?,Artificial Intelligence_Kannada.pdf_12,"['Artificial Intelligence_Kannada.pdf_25', 'Artificial Intelligence_Kannada.pdf_9', 'Artificial Intelligence_Kannada.pdf_28', 'Artificial Intelligence_Kannada.pdf_27', 'Artificial Intelligence_Kannada.pdf_12', 'Artificial Intelligence_Kannada.pdf_19', 'Artificial Intelligence_Kannada.pdf_15', 'Artificial Intelligence_Kannada.pdf_0', 'Artificial Intelligence_Kannada.pdf_11', 'Artificial Intelligence_Kannada.pdf_1']",True,5,0.2
ಸಮಸ್ಯೆಗಳನ್ನು ಬಗೆಹರಿಸಲು ಹೆಚ್ಚಿನ ಮಾವಳಿಗಳು ಹೇಗೆ ಪ್ರಯೋಜನಕಾರಿ?,Artificial Intelligence_Kannada.pdf_13,"['Climate change_English.pdf_54', 'Climate change_English.pdf_11', 'Artificial Intelligence_Kannada.pdf_13', 'Climate change_English.pdf_2', 'Climate change_English.pdf_3', 'Artificial Intelligence_Kannada.pdf_42', 'Artificial Intelligence_Kannada.pdf_61', 'Climate change_English.pdf_14', 'Climate change_English.pdf_77', 'Climate change_English.pdf_24']",True,3,0.3333333333333333
ಮಾನವ ಮಸ್ತಿಷ್ಕದಲ್ಲಿನ ರಚನೆಗಳ ಪ್ರತಿಕೃತಿಯನ್ನು ಮಾಡಿಕೊಳ್ಳಲು AI ಸಂಶೋಧನೆ ಯಾವ ವಿಧಾನವನ್ನು ಬಳಸುತ್ತದೆ?,Artificial Intelligence_Kannada.pdf_14,"['Artificial Intelligence_Kannada.pdf_36', 'Climate change_English.pdf_6', 'Artificial Intelligence_Kannada.pdf_14', 'Climate change_English.pdf_33', 'Artificial Intelligence_Kannada.pdf_8', 'Climate change_English.pdf_38', 'Artificial Intelligence_Kannada.pdf_0', 'Climate change_English.pdf_68', 'Artificial Intelligence_Kannada.pdf_28', 'Climate change_English.pdf_79']",True,3,0.3333333333333333
ಕಾಯಕಾರಿಕೆಯ ನಿಯಮಗಳನ್ನು ಅನುಸರಿಸುವ ವಿಷಯದಲ್ಲಿ ಮಾಹಿತಿಯ ನಿಜತೆಯನ್ನು ಯಾವಾಗ ತಿಳಿದುಕೊಳ್ಳಬಹುದು?,Artificial Intelligence_Kannada.pdf_16,"['Climate change_English.pdf_96', 'Climate change_English.pdf_70', 'Dandi march_Hindi.pdf_33', 'Climate change_English.pdf_3', 'Dandi march_Hindi.pdf_11', 'Climate change_English.pdf_8', 'Dandi march_Hindi.pdf_39', 'Climate change_English.pdf_21', 'Football in India_Bengali.pdf_13', 'Climate change_English.pdf_22']",False,0,0.0
ಸಾಮಾ ನ ಪರಿಕಲ್ಪನೆಯು ಯಾವ ಮಾನವನ ಅನುಭವದ ಆಧಾರದ ಮೇಲೆ ಇದೆ?,Artificial Intelligence_Kannada.pdf_17,"['Climate change_English.pdf_97', 'Artificial Intelligence_Kannada.pdf_17', 'Climate change_English.pdf_54', 'Climate change_English.pdf_1', 'Artificial Intelligence_Kannada.pdf_26', 'Climate change_English.pdf_6', 'Artificial Intelligence_Kannada.pdf_70', 'Climate change_English.pdf_33', 'Artificial Intelligence_Kannada.pdf_9', 'Climate change_English.pdf_67']",True,2,0.5
ಉಪಸಾಂಕೇತಿಕ ರೂಪವು ಮೆದುಳಿನ ಅರಿವಿನ ಲಕ್ಷಣವಾಗಿದೆ,Artificial Intelligence_Kannada.pdf_18,"['Artificial Intelligence_Kannada.pdf_18', 'Climate change_English.pdf_25', 'Artificial Intelligence_Kannada.pdf_26', 'Climate change_English.pdf_32', 'Artificial Intelligence_Kannada.pdf_33', 'Climate change_English.pdf_100', 'Artificial Intelligence_Kannada.pdf_69', 'Climate change_English.pdf_6', 'Artificial Intelligence_Kannada.pdf_28', 'Climate change_English.pdf_10']",True,1,1.0
ನಿಯೊ ಗಿಯು ತಾನೇ ಪಂಚದ ಮೇಲೆ ಕಾಯಿನಿವಿಸುವುದಿಲ್ಲವೇ?,Artificial Intelligence_Kannada.pdf_19,"['Climate change_English.pdf_13', 'Dandi march_Hindi.pdf_33', 'Climate change_English.pdf_1', 'Amar Singh Chamkila_Punjabi.pdf_8', 'Climate change_English.pdf_4', 'Football in India_Bengali.pdf_7', 'Climate change_English.pdf_26', 'Amar Singh Chamkila_Punjabi.pdf_14', 'Climate change_English.pdf_59', 'Amar Singh Chamkila_Punjabi.pdf_19']",False,0,0.0
